분류,강의명
전문교양,문제해결을위한글쓰기와발표
전문교양,세종사회봉사1
전문교양,대학생활과진로탐색
전문교양,English Listening Practice 1
전문교양,서양철학:쟁점과토론
전문교양,English Reading Practice 1
전문교양,Technical Writing 기초
전문교양,신입생세미나
전문교양,창업과기업가정신1
BSM,일변수미적분학
BSM,일반물리학및실험 1
BSM,공업수학1
BSM,통계학개론
BSM,공학설계기초(산학프로젝트입문)
BSM,고급프로그래밍입문-P
BSM,선형대수및프로그래밍
BSM,기초미적분학
전공,C프로그래밍및실습
전공,고급C프로그래밍및실습
전공,창의SW융합논마드
전공,자료구조 및 실습
전공,데이터분석개론
전공,확률통계및프로그래밍
전공,웹프로그래밍
전공,문제해결및실습:C++
전공,문제해결및실습:JAVA
전공,컴퓨터구조
전공,알고리즘및실습
전공,기계학습
전공,데이터베이스
전공,컴퓨터그래픽스
전공,오픈소스SW개론
전공,데이터사과학
전공,데이터문제해결및실습1
전공,텍스트마이닝
전공,비즈니스인텔리전스
전공,시계열분석및예측
전공,대용량데이터처리
전공,졸업연구 및 진로 1
전공,졸업연구 및 진로2
전공,고급기계학습
전공,Capstone디자인 (산학융합프로젝트)
전공,운영체제
전공,의사결정분석
전공,인공지능
전공,데이터시각화
전공,멀티미디어
전공,수치해석
전공,파이썬을 이용한 기계학습개론
전공,데이터사이언스특론
전공,고급데이터처리
전공,특허와창업
전공,데이터문제해결및실습2
