년도,학년,학과,학기,교과구분,인증구분,교과목명,학점(설계),설계
17,,컴퓨터공학과,1,전공,인증필수,문제해결을위한글쓰기와발표,2,0
17,,컴퓨터공학과,2,전공,인증필수,서양철학:쟁점과토론,2,0
17,,컴퓨터공학과,1,전공,인증필수,대학생활과진로설계1,1,0
17,,컴퓨터공학과,2,전공,인증선택,전산개론-I,3,0
17,,컴퓨터공학과,1,전공,인증필수,세종사회봉사1,1,0
17,,컴퓨터공학과,2,전공,BSM,공업수학1,3,0
17,,컴퓨터공학과,1,전공,인증선택,고급프로그래밍입문-P,3,0
17,,컴퓨터공학과,2,전공,인증필수,고급C프로그래밍및실습,4,1
17,,컴퓨터공학과,1,전공,BSM,미적분학및연습 1(기초미적분학),3,0
17,,컴퓨터공학과,2,전공,인증필수,공학설계기초(산학프로젝트입문),3,3
17,,컴퓨터공학과,1,전공,BSM,일반물리학및실험 1,3,0
17,,컴퓨터공학과,1,전공,인증필수,C프로그래밍및실습,4,0
17,,컴퓨터공학과,1,전공,인증선택,세계사:인간과문명,3,0
17,,컴퓨터공학과,2,전공,인증필수,알고리즘및실습,4,0
17,,컴퓨터공학과,1,전공,인증필수,자료구조및실습,4,0
17,,컴퓨터공학과,2,전공,인증필수,컴퓨터구조론,3,0
17,,컴퓨터공학과,1,전공,인증필수,디지털시스템,3,1
17,,컴퓨터공학과,2,전공,BSM,이산수학및프로그래밍,3,0
17,,컴퓨터공학과,1,전공,인증선택,문제해결및실습:C++,3,0
17,,컴퓨터공학과,2,전공,인증선택,문제해결및실습:JAVA,3,1
17,,컴퓨터공학과,1,전공,인증선택,웹프로그래밍,3,1
17,,컴퓨터공학과,2,전공,인증선택,오픈소스SW개론,3,0
17,,컴퓨터공학과,1,전공,인증선택,윈도우즈프로그래밍,3,0
17,,컴퓨터공학과,2,전공,인증선택,멀티미디어,3,0
17,,컴퓨터공학과,2,전공,인증선택,마이크로컴퓨터,3,1
17,,컴퓨터공학과,1,전공,인증선택,오픈소스SW설계,3,0
17,,컴퓨터공학과,2,전공,인증필수,컴퓨터네트워크,3,0
17,,컴퓨터공학과,1,전공,BSM,확률통계및프로그래밍,3,0
17,,컴퓨터공학과,2,전공,BSM,선형대수및프로그래밍,3,0
17,,컴퓨터공학과,1,전공,인증선택,데이터베이스,3,1
17,,컴퓨터공학과,2,전공,인증선택,디지털신호처리,3,1
17,,컴퓨터공학과,1,전공,인증선택,컴퓨터그래픽스,3,1
17,,컴퓨터공학과,2,전공,인증선택,소프트웨어공학,3,1
17,,컴퓨터공학과,1,전공,인증선택,신호및시스템,3,0
17,,컴퓨터공학과,2,전공,인증선택,멀티코어프로그래밍,3,0
17,,컴퓨터공학과,1,전공,인증선택,웹프로그래밍설계,3,2
17,,컴퓨터공학과,2,전공,인증선택,Unix프로그래밍,3,1
17,,컴퓨터공학과,1,전공,인증선택,프로그래밍언어의개념,3,0
17,,컴퓨터공학과,2,전공,인증선택,XML프로그래밍,3,1
17,,컴퓨터공학과,1,전공,인증선택,C#프로그래밍,3,1
17,,컴퓨터공학과,2,전공,인증선택,멀티미디어데이터베이스,3,0
17,,컴퓨터공학과,1,전공,인증선택,VHDL프로그래밍,3,1
17,,컴퓨터공학과,2,전공,인증선택,심화프로그래밍설계,3,2
17,,컴퓨터공학과,2,전공,인증선택,웹기반시스템,3,0
17,,컴퓨터공학과,2,전공,인증선택,통신시스템,3,0
17,,컴퓨터공학과,1,전공,인증필수,Capstone디자인(산학협력프로젝트),6,6
17,,컴퓨터공학과,2,전공,인증선택,특허와창업,3,0
17,,컴퓨터공학과,1,전공,인증선택,영상처리,3,1
17,,컴퓨터공학과,2,전공,인증선택,모바일프로그래밍,3,1
17,,컴퓨터공학과,1,전공,인증선택,가상현실,3,0
17,,컴퓨터공학과,2,전공,인증선택,지능형시스템,3,0
17,,컴퓨터공학과,1,전공,인증선택,임베디드시스템,3,1
17,,컴퓨터공학과,2,전공,인증선택,정보검색,3,0
17,,컴퓨터공학과,1,전공,인증선택,정보보호개론,3,0
17,,컴퓨터공학과,2,전공,인증선택,HCI개론,3,0
17,,컴퓨터공학과,1,전공,인증선택,네트워크프로그래밍,3,1
17,,컴퓨터공학과,2,전공,인증선택,객체지향설계기술,3,0
17,,컴퓨터공학과,1,전공,인증선택,데이터통신,3,0
17,,컴퓨터공학과,2,전공,인증선택,분산시스템,3,0
17,,컴퓨터공학과,1,전공,인증선택,데이터컴퓨팅,3,0
17,,컴퓨터공학과,2,전공,인증선택,스마트그리드,3,0
17,,컴퓨터공학과,1,전공,인증선택,무선통신,3,0
17,,컴퓨터공학과,2,전공,인증선택,영상처리프로그래밍,3,0
17,,컴퓨터공학과,1,전공,인증선택,시스템모델링,3,0
17,,컴퓨터공학과,2,전공,인증선택,인터넷보안,3,0
17,,컴퓨터공학과,1,전공,인증선택,인공지능,3,0
17,,컴퓨터공학과,2,전공,인증선택,컴파일러,3,0
17,,컴퓨터공학과,1,전공,인증선택,패턴인식,3,0
17,,컴퓨터공학과,2,전공,인증선택,컴퓨터비전시스템,3,0
17,,컴퓨터공학과,1,전공,인증선택,소프트웨어특강1,3,0
17,,컴퓨터공학과,2,전공,인증선택,소프트웨어특강2,3,0
17,,컴퓨터공학과,2,전공,인증선택,[k-mooc]파이썬을 이용한 빅데이터 분석,1,0
