년도,학년,학과,학기,교과구분,인증구분,교과목명,학점(설계),설계
19,,데이터사이언스학과,1,전문교양,인증필수,문제해결을위한글쓰기와발표,3,0
19,,데이터사이언스학과,2,전문교양,인증필수,English Listening Practice 1,2,0
19,,데이터사이언스학과,1,전문교양,인증필수,대학생활과진로설계1,1,0
19,,데이터사이언스학과,2,전문교양,인증필수,서양철학:쟁점과토론,2,0
19,,데이터사이언스학과,1,전문교양,인증필수,세종사회봉사1,1,0
19,,데이터사이언스학과,2,BSM,BSM,공업수학1,3,0
19,,데이터사이언스학과,1,전문교양,인증선택,고급프로그래밍입문-P,3,0
19,,데이터사이언스학과,2,BSM,BSM,통계학개론,3,0
19,,데이터사이언스학과,1,BSM,BSM,일변수미적분학,3,0
19,,데이터사이언스학과,2,전공,인증필수,고급C프로그래밍및실습,4,1
19,,데이터사이언스학과,1,BSM,BSM,일반물리학및실험 1,3,0
19,,데이터사이언스학과,2,전공,인증필수,공학설계기초 (산학프로젝트입문),3,3
19,,데이터사이언스학과,1,전공,인증필수,C프로그래밍및실습,4,0
19,,데이터사이언스학과,2,전공,인증선택,창의SW융합노마드,3,0
19,,데이터사이언스학과,1,전공,인증필수,데이터분석개론,3,1
19,,데이터사이언스학과,2,전문교양,인증선택,세계사:인간과문명,3,0
19,,데이터사이언스학과,1,전공,인증선택,확률통계및프로그래밍,3,0
19,,데이터사이언스학과,2,전공,인증필수,알고리즘및실습,4,0
19,,데이터사이언스학과,1,전공,인증선택,문제해결및실습:C++,3,1
19,,데이터사이언스학과,2,전공,인증필수,컴퓨터구조,3,0
19,,데이터사이언스학과,1,전공,인증선택,웹프로그래밍,3,0
19,,데이터사이언스학과,2,전공,BSM,선형대수및프로그래밍,3,0
19,,데이터사이언스학과,2,전공,인증선택,문제해결및실습:JAVA,3,1
19,,데이터사이언스학과,2,전공,인증선택,수치해석,3,0
19,,데이터사이언스학과,1,전공,인증필수,운영체제,3,0
19,,데이터사이언스학과,2,전공,인증필수,오픈소스SW개론,3,0
19,,데이터사이언스학과,1,전공,인증필수,기계학습,3,1
19,,데이터사이언스학과,2,전공,인증선택,경영과학,3,0
19,,데이터사이언스학과,1,전공,인증선택,데이터베이스,3,1
19,,데이터사이언스학과,2,전공,인증선택,데이터시각화,3,0
19,,데이터사이언스학과,1,전공,인증선택,컴퓨터그래픽스,3,1
19,,데이터사이언스학과,2,전공,인증선택,데이터문제해결및실습1,3,1
19,,데이터사이언스학과,1,전공,인증선택,의사결정분석,3,0
19,,데이터사이언스학과,1,전공,인증선택,졸업연구 및 진로 1,1,0
19,,데이터사이언스학과,2,전공,인증선택,데이터사이언스특론,3,0
19,,데이터사이언스학과,1,전공,인증선택,대용량데이터 처리개론,3,0
19,,데이터사이언스학과,2,전공,인증선택,특허와창업,3,0
19,,데이터사이언스학과,1,전공,인증선택,텍스트마이닝,3,0
19,,데이터사이언스학과,2,전공,인증선택,고급기계학습,3,0
19,,데이터사이언스학과,1,전공,인증선택,시계열분석및예측,3,0
19,,데이터사이언스학과,2,전공,인증선택,데이터기반인공지능,3,0
19,,데이터사이언스학과,1,전공,인증선택,취업역량개발론,1,0
19,,데이터사이언스학과,2,전공,인증선택,데이터문제해결및실습2,3,0
