년도,학년,학과,학기,교과구분,인증구분,교과목명,학점(설계),설계
24,1,소프트웨어과,1,전문교양,인필,문제해결을 위한 글쓰기와 발표,3,0
24,1,소프트웨어과,1,전문교양,인필,문제해결을 위한 글쓰기와 발표,3,0
24,1,소프트웨어과,1,전문교양,인필,문제해결을 위한 글쓰기와 발표,3,0
24,1,소프트웨어과,1,전문교양,인필,문제해결을 위한 글쓰기와 발표,3,0
24,1,소프트웨어과,1,학문기초교양,인필(BSM),미적분학1,3,0
24,1,소프트웨어과,1,전공기초,인필(전공),C프로그래밍 및 실습,3,0
24,1,소프트웨어과,1,전공기초,인선(전공),확률및통계,3,0
24,1,소프트웨어과,2,전문교양,인필,대학영어,2,0
24,1,소프트웨어과,2,전문교양,인필,서양철학: 쟁점과 토론,3,0
24,1,소프트웨어과,2,전공기초,인필(BSM),공업수학1,3,0
24,1,소프트웨어과,2,전공기초,인필(전공),고급C프로그래밍및실습,3,0
24,1,소프트웨어과,2,전공기초,인선(BSM),선형대수,3,0
24,2,소프트웨어과,1,전공필수,인필(전공),자료구조 및 실습,3,0
24,2,소프트웨어과,1,전공필수,인필(전공),문제해결 및 실습: C++,3,0
24,2,소프트웨어과,1,전공선택,인필(BSM),일반물리 및 시뮬레이션,3,0
24,2,소프트웨어과,1,전공선택,인선(전공),멀티미디어프로그래밍,3,0
24,2,소프트웨어과,1,전공선택,인선(전공),멀티미디어프로그래밍,3,0
24,2,소프트웨어과,1,전공선택,인선(전공),웹프로그래밍,3,0
24,2,소프트웨어과,1,전공선택,인선(전공),윈도우즈프로그래밍,3,0
24,2,소프트웨어과,2,전공선택,인필(BSM),통계학개론,3,0
24,2,소프트웨어과,2,전공필수,인필(전공),SW설계기초(산학프로젝트입문),3,3
24,2,소프트웨어과,2,전공필수,인필(전공),컴퓨터 구조,3,0
24,2,소프트웨어과,2,전공필수,인필(전공),알고리즘 및 실습,3,1
24,2,소프트웨어과,2,전공선택,인선(전공),문제해결 및 실습: JAVA,3,1
24,2,소프트웨어과,2,전공선택,인선(전공),창의SW융합노마드,3,0
24,2,소프트웨어과,2,전공선택,인필(BSM),이산수학 및 프로그래밍,3,0
24,2,소프트웨어과,2,전공선택,인선(전공),K-MOOC: 멀티미디어,3,0
24,3,소프트웨어과,1,전공필수,인필(전공),데이터베이스,3,1
24,3,소프트웨어과,1,전공필수,인필(전공),데이터베이스,3,1
24,3,소프트웨어과,1,전공필수,인필(전공),데이터베이스,3,1
24,3,소프트웨어과,1,전공필수,인필(전공),데이터베이스,3,1
24,3,소프트웨어과,1,전공필수,인필(전공),오픈소스SW개론,3,1
24,3,소프트웨어과,1,전공필수,인필(전공),운영체제,3,1
24,3,소프트웨어과,1,전공선택,인선(전공),수치해석,3,0
24,3,소프트웨어과,1,전공선택,인선(전공),게임프로그래밍,3,1
24,3,소프트웨어과,1,전공선택,인선(전공),소프트웨어교육1,3,0
24,3,소프트웨어과,2,전공선택,인선(전공),오픈소스SW공학,3,1
24,3,소프트웨어과,2,전공선택,인선(전공),컴퓨터네트워크,3,0
24,3,소프트웨어과,2,전공선택,인선(전공),컴퓨터그래픽스,3,1
24,3,소프트웨어과,2,전공선택,인선(전공),음성오디오처리,3,0
24,3,소프트웨어과,2,전공선택,인선(전공),소프트웨어공학,3,0
24,3,소프트웨어과,2,전공선택,인선(전공),데이터베이스프로그래밍,3,0
24,3,소프트웨어과,2,전공선택,인선(전공),데이터공학,3,0
24,3,소프트웨어과,2,전공선택,인선(전공),앱프로그래밍,3,0
24,3,소프트웨어과,2,전공선택,인선(전공),소프트웨어교육 2,3,0
24,4,소프트웨어과,1,전공필수,인필(전공),Capstone디자인(산학협력프로젝트),6,6
24,4,소프트웨어과,1,전공선택,인선(전공),졸업연구 및 진로1,1,0
24,4,소프트웨어과,1,전공선택,인선(전공),인턴쉽1,3,0
24,4,소프트웨어과,1,전공선택,인선(전공),가상현실,3,1
24,4,소프트웨어과,1,전공선택,인선(전공),컴퓨터애니메이션,3,1
24,4,소프트웨어과,1,전공선택,인선(전공),기계학습,3,0
24,4,소프트웨어과,1,전공선택,인선(전공),패턴인식,3,0
24,4,소프트웨어과,1,전공선택,인선(전공),영상처리,3,0
24,4,소프트웨어과,1,전공선택,인선(전공),소프트웨어특강1,3,0
24,4,소프트웨어과,1,전공선택,인선(전공),고급데이터베이스,3,0
24,4,소프트웨어과,2,전공선택,인선(전공),졸업연구 및 진로2,1,0
24,4,소프트웨어과,2,전공선택,인필(전공),Capstone디자인(산학협력프로젝트),6,6
24,4,소프트웨어과,2,전공선택,인선(전공),인턴쉽2,3,0
24,4,소프트웨어과,2,전공선택,인선(전공),HCI개론,3,1
24,4,소프트웨어과,2,전공선택,인선(전공),지능형시스템,3,1
24,4,소프트웨어과,2,전공선택,인선(전공),컴퓨터비전시스템,3,0
24,4,소프트웨어과,2,전공선택,인선(전공),인공지능,3,0
24,4,소프트웨어과,2,전공선택,인선(전공),증강현실,3,0
24,4,소프트웨어과,2,전공선택,인선(전공),음성인식,3,0
24,4,소프트웨어과,2,전공선택,인선(전공),소프트웨어특강2,3,0
24,4,소프트웨어과,2,전공선택,인선(전공),특허와 창업,3,0
