년도,학년,학과,학기,교과구분,인증구분,교과목명,"학점(실험/실습,설계)"
20,1,전자정보통신공학과,1,전문교양,인필,문제해결을위한글쓰기와발표,3
20,1,전자정보통신공학과,1,전문교양,인필,세종사회봉사1,1
20,1,전자정보통신공학과,1,MSC,인필,일변수미적분학,3
20,1,전자정보통신공학과,1,MSC,인필,고급프로그래밍입문-C,3
20,1,전자정보통신공학과,1,MSC,인필,일반화학,3
20,1,전자정보통신공학과,1,MSC,인필,일반물리학및실험1,3(MSC실험1)
20,1,전자정보통신공학과,2,전문교양,인필,English Listening Practice 1,2
20,1,전자정보통신공학과,2,전문교양,인필,서양철학:쟁점과토론,3
20,1,전자정보통신공학과,2,MSC,인필,공업수학1,3
20,1,전자정보통신공학과,2,MSC,인필,선형대수,3
20,1,전자정보통신공학과,2,MSC,인필,프로그래밍,3
20,1,전자정보통신공학과,2,MSC,인필,일반물리학및실험2,3(MSC실험1)
20,2,전자정보통신공학과,1,전문교양,인필,세계사: 인간과 문명,3
20,2,전자정보통신공학과,1,MSC,인필,공업수학2,3
20,2,전자정보통신공학과,1,MSC,인필,확률및랜덤변수,3
20,2,전자정보통신공학과,1,전공,인선,전기회로,3
20,2,전자정보통신공학과,1,전공,인선,MATLAB프로그래밍,3
20,2,전자정보통신공학과,1,전공,인선,디지털논리회로,3(실험1)
20,2,전자정보통신공학과,2,전문교양,인필,English Reading Practice 2,2
20,2,전자정보통신공학과,2,전공,인선,신호및시스템,3
20,2,전자정보통신공학과,2,전공,인선,물리전자공학,3
20,2,전자정보통신공학과,2,전공,인선,JAVA프로그래밍,3
20,2,전자정보통신공학과,2,전공,인선,컴퓨터구조론,3
20,2,전자정보통신공학과,2,전공,인선,전기회로실험,3(실험1)
20,2,전자정보통신공학과,2,전공(설계),인필,기초설계,3(설계3)
20,3,전자정보통신공학과,1,전공,인선,전자회로1,3
20,3,전자정보통신공학과,1,전공,인선,통신이론,3
20,3,전자정보통신공학과,1,전공,인선,전자기1,3
20,3,전자정보통신공학과,1,전공,인선,기초반도체,3
20,3,전자정보통신공학과,1,전공,인선,디지털신호처리,3
20,3,전자정보통신공학과,1,전공,인선,하드웨어프로그래밍,3
20,3,전자정보통신공학과,1,전공,인선,데이터구조론,3
20,3,전자정보통신공학과,1,전공,인선,랜덤프로세스,3
20,3,전자정보통신공학과,1,전공,인선,자동제어,3
20,3,전자정보통신공학과,1,전공,인선,데이터통신,3
20,3,전자정보통신공학과,1,전공,인선,기초광학및실험,3(실험1)
